Character Level,Easy,Medium,Hard,Deadly
1,25,50,75,100
2,50,100,150,200
3,75,150,225,400
4,125,250,375,500
5,250,500,750,"1,100"
6,300,600,900,"1,400"
7,350,750,"1,100","1,700"
8,450,900,"1,400","2,100"
9,550,"1,100","1,600","2,400"
10,600,"1,200","1,900","2,800"
11,800,"1,600","2,400","3,600"
12,"1,000","2,000","3,000","4,500"
13,"1,100","2,200","3,400","5,100"
14,"1,250","2,500","3,800","5,700"
15,"1,400","2,800","4,300","6,400"
16,"1,600","3,200","4,800","7,200"
17,"2,000","3,900","5,900","8,800"
18,"2,100","4,200","6,300","9,500"
19,"2,400","4,900","7,300","10,900"
20,"2,800","5,700","8,500","12,700"
